"","OBJECTID","ID_DEPA","ID_PROV","P_NOMB","P_CAPIT","ID_DEPNOM","Poblacion","ranking1","IDH","ranking2","EVN","ranking3","POB_ESC","ranking4","POREDAD_25","ranking5","ING_PROMED","ranking6"
"124","710","14","1401","CHICLAYO","CHICLAYO","LAMBAYEQUE",836299,5,0.505729671929,30,78.0061820467,21,72.9540370705,20,9.83617222377,21,596.683731376,46
"125","711","14","1402","FERREÑAFE","FERREÑAFE","LAMBAYEQUE",104820,57,0.354611013622,90,69.2995008837,152,53.5655143713,77,7.41959481117,77,358.351612937,100
"126","712","14","1403","LAMBAYEQUE","LAMBAYEQUE","LAMBAYEQUE",288141,17,0.380607056644,79,73.3680052394,96,56.9476792692,66,7.55770527176,72,385.85037671,95
"127","713","15","1501","LIMA","LIMA","LIMA",8481415,1,0.641671526293,3,79.0230340159,16,79.087892976,8,10.9318,5,1049.23473821,5
"128","714","15","1502","BARRANCA","BARRANCA","LIMA",143216,40,0.530742226963,18,80.3764944488,6,66.5987931498,38,9.023726556,39,720.999793472,23
"129","715","15","1503","CAJATAMBO","CAJATAMBO","LIMA",8139,192,0.329333636831,109,70.564079425,142,43.9820668512,104,7.56168253771,71,309.4640935,128
"130","716","15","1504","CANTA","CANTA","LIMA",14669,180,0.44053811886,59,75.7458561156,49,46.9225458806,95,8.28853504535,54,573.143538749,55
"131","717","15","1505","CAÑETE","SAN VICENTE DE CAÑETE","LIMA",222877,22,0.525028153704,22,79.7359727171,10,46.6623642361,97,9.7399020326,23,800.590156864,15
"132","718","15","1506","HUARAL","HUARAL","LIMA",0,0,0,0,0,0,0,0,0,0,0,0
"133","719","15","1507","HUAROCHIRI","MATUCANA","LIMA",79177,78,0.474185893047,45,72.7583236176,109,70.8702506499,27,9.36755515384,29,572.278397664,57
"134","720","15","1508","HUAURA","HUACHO","LIMA",213188,23,0.547622938184,17,77.0696210316,36,72.2265985169,22,9.91556683104,17,761.047128387,18
"135","721","15","1509","OYON","OYON","LIMA",22217,171,0.490867090544,37,80.1773394252,7,57.477335812,65,8.68314233781,46,635.622572763,38
"136","722","15","1510","YAUYOS","YAUYOS","LIMA",27842,158,0.406178761329,70,75.5779914564,54,58.6312338029,61,8.77522982725,43,400.139336828,90
"137","723","16","1601","MAYNAS","IQUITOS","LORETO",550031,7,0.461088238647,50,71.2490353877,128,50.3783213092,86,9.20408145426,34,646.651944168,35
"138","724","16","1602","ALTO AMAZONAS","YURIMAGUAS","LORETO",117163,53,0.318400700906,119,71.5827165985,124,31.0600677659,153,6.87502300072,103,342.602154179,106
"139","725","16","1603","LORETO","NAUTA","LORETO",69508,89,0.307076149039,129,69.8918345501,149,28.2820502327,165,6.83204038555,105,336.339279611,111
"140","726","16","1604","MARISCAL RAMON CASTILLA","CABALLOCOCHA","LORETO",67143,96,0.282261610975,144,67.3895708614,168,21.9263723392,188,6.65083608353,110,321.692995142,122
"141","727","16","1605","REQUENA","REQUENA","LORETO",72706,85,0.320456031166,115,72.8327087772,107,33.9009127042,139,7.24001838858,84,317.349381153,124
"142","728","16","1606","UCAYALI","CONTAMANA","LORETO",70782,88,0.334412493185,104,68.2178062012,163,41.3101705219,111,7.51665471144,73,348.832296682,102
"143","729","16","1607","DATEM DEL MARAÑON","SAN LORENZO","LORETO",59620,102,0.243546964633,173,74.2530915903,75,14.4935586229,194,5.69993979143,144,252.425534785,157
"144","730","17","1701","TAMBOPATA","PUERTO MALDONADO","MADRE DE DIOS",91988,65,0.575421753692,10,70.964691415,135,66.3338879645,41,10.1941405499,11,1014.0186868,6
"145","731","17","1702","MANU","SALVACION","MADRE DE DIOS",22906,169,0.524510209831,24,73.3948171936,94,49.714926494,88,8.53118472062,50,943.418931393,9
"146","732","17","1703","TAHUAMANU","IÑAPARI","MADRE DE DIOS",12745,182,0.604480225213,6,79.7438790292,9,55.4738455793,71,9.63416418255,25,1113.65510182,4
"147","733","18","1801","MARISCAL NIETO","MOQUEGUA","MOQUEGUA",78890,79,0.644235780688,2,77.3219189137,30,80.4520736748,7,10.3472743882,10,1121.12738446,3
"148","734","18","1802","GENERAL SANCHEZ CERRO","OMATE","MOQUEGUA",27275,160,0.476902568443,44,78.5333417782,18,78.1906191268,10,8.75876780859,44,519.098210036,64
"149","735","18","1803","ILO","ILO","MOQUEGUA",68694,91,0.667856661112,1,77.6094405202,25,82.8681424447,3,11.293825457,2,1160.08160805,2
"150","736","19","1901","PASCO","CERRO DE PASCO","PASCO",156259,35,0.462205095782,49,73.4312227058,92,72.8808535862,21,9.53120711379,27,513.697017059,65
"151","737","19","1902","DANIEL ALCIDES CARRION","YANAHUANCA","PASCO",51789,121,0.319065324379,116,71.3137790558,125,77.2686433064,13,7.97704223795,61,213.915934964,172
"152","738","19","1903","OXAPAMPA","OXAPAMPA","PASCO",89543,66,0.349479320405,95,69.3417490104,151,37.4447870538,128,7.16542832344,90,413.500182324,87
"153","739","20","2001","PIURA","PIURA","PIURA",734437,6,0.488544825545,38,75.0440142929,62,63.9857448973,47,9.02578697784,38,638.933705121,37
"154","740","20","2002","AYABACA","AYABACA","PIURA",141708,42,0.199889351271,191,65.4553651497,177,26.3004901608,174,4.79469077022,182,158.978758468,192
"155","741","20","2003","HUANCABAMBA","HUANCABAMBA","PIURA",127423,48,0.20040020334,190,63.2573386687,182,28.2830747556,164,4.75967545684,184,163.146487896,190
"156","742","20","2004","MORROPON","CHULUCANAS","PIURA",159486,34,0.35057376049,92,71.1094067468,132,50.7596808179,83,6.09176821177,126,387.844589687,94
"157","743","20","2005","PAITA","PAITA","PIURA",122725,49,0.498699986833,33,76.061253733,44,59.6915768085,57,8.09075365301,59,733.604015342,21
"158","744","20","2006","SULLANA","SULLANA","PIURA",309605,14,0.458846605965,51,75.7343135912,51,64.4623750277,46,8.53285028963,49,544.401826731,61
"159","745","20","2007","TALARA","TALARA","PIURA",133148,45,0.512213491098,28,72.8221986999,108,66.612111293,37,9.90816447842,18,708.903902534,26
"160","746","20","2008","SECHURA","SECHURA","PIURA",71075,87,0.40884047484,68,68.5813939926,158,51.4599170354,81,7.23639679316,85,557.495754694,58
"161","747","21","2101","PUNO","PUNO","PUNO",244692,21,0.471242268301,46,65.6913726046,176,75.1217352811,16,9.2847063109,31,639.466910836,36
"162","748","21","2102","AZANGARO","AZANGARO","PUNO",139092,43,0.280846015105,145,64.3200297591,180,54.2108603195,74,6.30423794986,120,235.932179103,165
"163","749","21","2103","CARABAYA","MACUSANI","PUNO",87812,69,0.264789646726,160,62.5686146745,185,40.7054457357,116,5.90951930123,132,247.945465301,159
"164","750","21","2104","CHUCUITO","JULI","PUNO",142711,41,0.31618200062,120,70.6956640595,140,67.3107817032,35,7.40272047904,78,233.521243756,168
"165","751","21","2105","EL COLLAO","ILAVE","PUNO",84865,73,0.345525199138,100,74.8400937515,65,74.2211362248,17,6.97167348584,100,270.447088964,145
"166","752","21","2106","HUANCANE","HUANCANE","PUNO",67726,94,0.284835474806,140,68.2515015496,162,64.6714829233,44,6.03540466116,129,214.924176856,171
"167","753","21","2107","LAMPA","LAMPA","PUNO",51039,124,0.346534441474,96,72.0903005525,114,59.0125270946,60,7.06900148882,94,314.308293547,126
"168","754","21","2108","MELGAR","AYAVIRI","PUNO",77355,81,0.349999075542,93,68.3444128601,159,54.0761817306,75,7.04419129054,95,362.369067711,97
"169","755","21","2109","MOHO","MOHO","PUNO",26799,162,0.268672747724,158,70.8091833968,138,49.9957616299,87,5.41561667279,156,210.498279107,174
"170","756","21","2110","SAN ANTONIO DE PUTINA","PUTINA","PUNO",62247,99,0.403361576907,71,60.3824389443,192,62.8285689262,51,7.11029816776,92,600.939649435,43
"171","757","21","2111","SAN ROMAN","JULIACA","PUNO",276352,18,0.496962532616,34,68.3124271224,161,81.3188866056,4,9.65062433096,24,660.061798221,32
